EWOA,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23
0,67810.09348,1.80E+13,142355.8943,87.58859481,243345001.6,68595.94,124.9886688,-2151.085575,441.419394,20.68308266,606.953588,582021259.7,1176013980,169.9757094,0.237882284,0.99565479,2.576903954,70.45314617,-3.340133703,-1.455807966,-0.500426169,-0.689156689,-0.783965395
1,32257.89623,4.62E+10,88505.58467,63.71606959,72868692.37,31457.16,37.90525584,-5289.865746,358.3895032,18.9003093,303.6331992,105829943.6,229792054.2,71.35692976,0.115738428,-0.241440772,1.596858903,47.23191488,-3.481605644,-1.796315668,-0.730598202,-1.020596763,-0.993163191
2,17066.71316,333265158.7,32450.44533,46.21199962,28435517.64,17035.98,11.78824328,-6115.076844,307.6058918,16.39524461,179.4792812,19710251.57,75566683.03,30.30561983,0.06355149,-0.5274491,1.229406934,29.56430781,-3.581165375,-2.032493928,-1.183600787,-1.543248778,-1.414713819
3,8404.691566,23896.68783,14476.07997,28.66157142,7084932.387,8578.54,3.274825295,-7493.739927,253.4470608,13.03934785,90.93607771,3414622.989,11454302.97,19.96258629,0.043186969,-0.669570746,0.969486709,21.21516229,-3.624096799,-2.138458541,-1.884453374,-2.066430736,-1.752444981
4,3292.200284,20.71272911,6702.789972,17.11254243,1336688.185,2746.38,0.916371218,-8862.733315,204.3305847,8.684985493,44.7054925,82737.80633,1914097.133,15.65063796,0.034695474,-0.752167542,0.766566487,19.28349167,-3.647646428,-2.185203357,-2.733072505,-2.741533044,-2.420702529
5,948.3609567,12.96458978,2882.188492,9.715664562,247256.5796,1035.66,0.385105109,-9283.058585,165.6824586,5.873436556,17.28816333,2010.069568,396896.5627,11.47149626,0.027598164,-0.799507292,0.69284964,18.17728278,-3.659124777,-2.238769071,-3.2807531,-3.234052694,-2.876651718
6,422.5235968,7.034064716,1167.204649,5.756827288,83251.27773,446.18,0.16193169,-9534.209093,125.3711145,4.070930921,8.835208542,15.14921678,16080.63051,10.93604356,0.02554859,-0.819392909,0.650330202,17.09500583,-3.680178243,-2.279761246,-3.892920137,-3.806429389,-3.498613825
7,228.5699123,4.401873749,467.5307333,3.267791667,13802.73298,308.58,0.100888082,-9911.610334,89.97045841,2.407159219,3.879603588,2.797937452,316.6594628,10.58786946,0.023494416,-0.845476039,0.603696011,15.23098746,-3.692118089,-2.298588228,-4.444589925,-4.340865528,-3.812331763
8,80.46656258,2.938837348,119.5064702,1.99906678,6312.909631,131.48,0.048425884,-10069.24699,62.84573751,1.602677027,1.812502584,1.322887969,4.659951368,9.99690276,0.022000124,-0.867853247,0.567456577,14.34844846,-3.702590099,-2.319996583,-4.892485451,-4.716385346,-4.177706645
9,42.00228783,1.621898443,36.25922381,1.222466502,835.2019277,41.66,0.037470966,-10237.079,39.64967972,0.916996754,1.115874522,0.732208721,2.984941372,8.462246248,0.020633003,-0.875848106,0.544417584,13.35536283,-3.705833716,-2.330715015,-5.180051095,-5.045898512,-4.400136761
